"OBJECTID" "x" "y" "coarse" "clay" "silt" "sand" "pH" "OC" "N" "P" "K" "CEC" "pH_class"
1 789503.5075 5318237.517 12 21 41 38 6.32 17.8 1.8 20.1 126.8 12.6 "acidic"
2 773299.8177 5334066.355 8 23 72 5 5.56 18 1.8 60.6 234.3 10.4 "acidic"
3 773620.7627 5308044.702 14 22 58 20 5.1 27.7 2.5 15 70.1 8.3 "acidic"
4 766972.1728 5360016.34 13 17 54 28 7.34 12.5 1.4 27.6 17.6 12.7 "neutral"
5 765574.1178 5311956.01 12 18 56 27 6.12 31.5 3.2 24.1 68.1 18.7 "acidic"
6 763222.2765 5339957.13 5 17 74 9 6.6 12.4 1.4 55.6 123.9 12.9 "neutral"
7 763674.4238 5303925.862 50 22 39 39 7.2 103.3 7.6999998 49.3 111.9 36 "neutral"
8 759071.3261 5351917.454 5 19 63 18 7.39 17 1.9 84.2 0 16.5 "neutral"
9 759246.4753 5337907.87 35 21 69 10 7.02 36.1 3.8 76.6 74 22.5 "neutral"
10 759699.8702 5301879.651 9 33 60 7 6.24 72.8 6.6999998 54.4 764.4 27.5 "acidic"
11 756896.7245 5365898.747 27 21 38 42 6.15 19.1 1.7 68.1 241.7 10.8 "acidic"
12 754942.4422 5361877.424 20 17 57 26 6.72 15.2 1.7 74.6 139.7 15 "neutral"
13 753585.4466 5311847.987 23 14 56 30 7.54 30.7 3 72.7 107.9 21.3 "alkaline"
14 749374.9679 5327783.334 33 17 45 38 5.44 17.4 1.8 44.7 96.5 7.8 "acidic"
15 747123.7332 5347773.106 17 20 63 17 7.29 20.2 2.2 19.6 94.9 16.6 "neutral"
16 745452.8477 5321735.839 47 28 42 30 6.89 57.1 5.4000001 17.9 87.9 31.4 "neutral"
17 741023.1994 5355706.783 29 25 54 21 7.32 50.4 5.4000001 86 657.7 33.9 "neutral"
18 741425.7518 5323691.462 9 8 39 53 7.43 11.1 1.2 0 132.1 9.5 "neutral"
19 737249.4705 5337649.39 20 16 41 44 7.26 30.2 2.9000001 64.6 210 30.2 "neutral"
20 737529.9661 5315635.416 16 18 52 30 7.03 38 3.7 35.2 191.7 20.7 "neutral"
21 735121.08 5347621.378 4 19 54 28 3.81 49.5 3 24.2 45.1 10.6 "acidic"
22 735350.4302 5329622.788 19 19 47 34 6.85 40.4 4.6999998 86.6 187.4 19.4 "neutral"
23 733300.3248 5333598.581 34 18 65 17 7.61 30.5 2.7 48.2 145.2 17.8 "alkaline"
24 733754.7194 5297577.877 25 7 37 55 7.24 32.2 2.5 10.6 35 13.6 "neutral"
25 728897.7073 5365571.112 14 22 52 26 6.8 15.8 1.7 42.1 106.4 16.4 "neutral"
26 729505.8547 5317541.517 18 31 53 17 6.19 83.7 8.5 33.6 106.9 35.2 "acidic"
27 729804.9746 5293527.51 23 41 45 15 6.39 41.1 4 15.5 116.8 24.4 "acidic"
28 725505.0871 5317496.791 27 18 43 39 6.87 197.3 12.5 42.9 102.4 73.7 "neutral"
29 723759.1057 5297459.952 19 31 56 13 7.13 68.9 6.5999999 65.1 125.3 40.8 "neutral"
30 719027.6464 5355447.63 15 14 73 12 7.51 11.2 1.3 71.2 187.5 12.2 "alkaline"
31 719633.5084 5307419.201 21 28 36 36 6.16 33.5 3.2 23.7 162.4 24.6 "acidic"
32 714798.7556 5373406.391 4 22 69 9 7.44 12.3 1.4 59.3 313.3 17.5 "neutral"
33 713154.8625 5345368.381 14 27 69 3 6.46 21 2.2 40 79.6 18.4 "acidic"
34 707370.5758 5335263.239 28 22 45 33 7.84 28.3 2.7 73.6 324.7 24.1 "alkaline"
35 704857.6857 5369280.276 24 22 44 35 7.52 33.8 3.4000001 79.2 88.8 27.5 "alkaline"
